VisitorID,Total_Visits,Total_Purchases,Avg_Time_Spent,Avg_Amount_Spent,Time_Since_Last_Visit,Unique_Shops_Visited,Purchase_to_Visit_Ratio,Last_Visit_Purchase
V1088,5,4,75.06425723395331,1098.3341394507693,81,15,0.8,0
V1089,6,5,97.86253379071313,631.8581651234804,77,18,0.83,1
V1090,3,2,89.40599001448588,545.2984897800166,19,14,0.67,0
V1091,5,2,105.61591124131193,389.38211273995785,35,13,0.4,1
V1092,5,2,107.28504764899121,687.5075257683877,33,2,0.4,1
V1093,8,1,129.06658376060085,461.49107524104494,42,11,0.12,1
V1094,7,0,85.8214473413091,568.398861828586,54,19,0.0,0
V1095,8,1,36.06473959353304,619.8099007169909,39,6,0.12,1
V1096,12,3,50.24776269575695,583.3431978181619,64,17,0.25,0
V1097,2,2,90.52300770458123,513.6570215885818,38,1,1.0,0
V1098,6,0,81.93416071067007,297.0823955049541,38,5,0.0,0
V1099,4,2,111.6638137206306,511.9766739721586,73,1,0.5,0
V1100,7,0,121.12361463336276,717.2743926996668,52,13,0.0,0
V1101,4,0,91.08483510623687,650.8147770401329,47,1,0.0,0
V1102,4,3,52.50508824446433,563.582480800491,65,12,0.75,0
V1103,3,2,106.85862068590902,663.0481611231952,42,9,0.67,1
V1104,6,1,98.3741775346111,260.4965877369435,55,13,0.17,0
V1105,6,6,109.04225720545841,467.97421726366684,59,10,1.0,0
V1106,4,4,68.25360322513441,491.81017550618634,66,16,1.0,0
V1107,7,2,179.42330686151686,285.78145350920875,74,6,0.29,1
V1108,6,2,37.6387169189928,602.9534348798517,54,8,0.33,0
V1109,6,2,92.80423594134602,636.555127361268,51,7,0.33,1
V1110,6,3,111.43853587612897,532.824056331662,23,13,0.5,1
V1111,2,2,114.80171837347345,540.1924499219982,73,17,1.0,0
V1112,4,0,90.28695414300209,381.0301347477449,11,12,0.0,0
V1113,2,6,108.63347954504334,383.07154337211284,36,11,3.0,1
V1114,4,1,117.15147868457714,227.51862349988915,56,6,0.25,1
V1115,4,4,93.23713041904317,462.9567558517515,42,15,1.0,1
V1116,3,5,96.85835973197645,380.6891219259396,13,5,1.67,0
V1117,5,0,109.23720456962067,339.4300728990266,83,16,0.0,0
V1118,6,0,90.64193516121871,511.0820515390948,52,11,0.0,0
V1119,4,0,130.01645087697423,425.83771449985255,30,10,0.0,0
V1120,4,1,119.92466980518486,218.53352547736813,82,8,0.25,0
V1121,2,1,80.81020903673786,389.1802657791333,12,5,0.5,1
V1122,9,2,68.44885793649898,473.5129017999949,76,10,0.22,1
V1123,9,3,113.19796679751929,280.5570525750162,21,10,0.33,0
V1124,8,2,92.57950396958235,570.2153254964633,12,1,0.25,0
V1125,6,1,72.21258816994498,515.1265252457307,62,13,0.17,1
V1126,8,0,75.60977719259694,325.0495211333339,39,18,0.0,0
V1127,4,4,109.4460693948911,655.9146994247753,44,5,1.0,1
V1128,7,2,76.05069915589006,777.4805159378292,4,16,0.29,0
V1129,6,1,133.37549352235135,485.83332265403624,31,6,0.17,1
V1130,6,0,60.066083194057924,457.7417646606542,24,10,0.0,0
V1131,7,1,74.96903479226843,436.2296161979469,42,7,0.14,1
V1132,2,1,62.09200359874765,394.99097034320715,49,16,0.5,0
V1133,7,0,53.430517072103996,312.7865508996805,82,1,0.0,0
V1134,6,4,66.11522057540279,522.9902257995413,20,7,0.67,0
V1135,6,3,74.74224764831263,347.65731820741735,8,12,0.5,1
V1136,6,2,77.40522866278052,50.0,33,15,0.33,1
V1137,5,4,25.05668306571414,906.2916045531217,68,2,0.8,0
V1138,7,3,54.195569998923645,839.468419886578,38,18,0.43,1
V1139,5,3,95.39645758563451,522.3128645409189,86,4,0.6,0
V1140,9,0,68.92840926195859,240.06793350193527,36,13,0.0,0
V1141,6,1,121.23931584453035,959.8169545237129,48,9,0.17,1
V1142,5,4,82.75230359610643,603.9053288173037,8,4,0.8,1
V1143,3,1,107.77182939648344,426.6313359827866,73,9,0.33,1
V1144,10,0,78.83925328559864,802.6227008496536,82,1,0.0,1
V1145,3,0,117.46368748730447,300.8872918969994,60,8,0.0,0
V1146,4,2,19.990850679544394,84.63986152499717,24,1,0.5,0
V1147,4,1,93.19908732080576,369.35649893767965,17,16,0.25,0
V1148,5,0,135.91245155656816,643.9853154975235,65,15,0.0,0
V1149,8,1,46.285760094234206,955.8261548837222,39,15,0.12,0
V1150,2,2,112.56827726958576,357.4345125421435,79,5,1.0,0
V1151,12,1,101.7527050306081,267.05957887248576,55,19,0.08,1
V1152,4,3,47.17541773723971,506.5594255194951,77,11,0.75,1
V1153,2,2,100.44352889344822,497.7191430992013,87,19,1.0,1
V1154,3,2,100.22914755878459,876.7552149414857,61,3,0.67,0
V1155,1,3,87.26363539762929,550.8271386099835,31,4,3.0,0
V1156,8,2,124.24158740179203,922.6090865827232,28,16,0.25,0
V1157,8,2,120.09051368626798,775.1600729423238,32,12,0.25,1
V1158,6,1,114.44764013015305,684.7146568453628,7,7,0.17,1
V1159,3,3,132.05294976810046,207.17885840142247,78,1,1.0,1
V1160,5,2,65.64513302711109,421.1270444200521,14,11,0.4,1
V1161,5,1,74.30524434927071,551.2354381712843,73,15,0.2,1
V1162,5,3,70.23103218348176,50.0,54,19,0.6,1
V1163,3,0,74.66921619454239,366.72238312471393,70,15,0.0,1
V1164,9,0,75.24218607682691,435.56848991582973,51,9,0.0,1
V1165,6,0,85.926214735822,343.12905831438957,79,13,0.0,1
V1166,7,3,78.43997696675507,922.6602239368694,30,18,0.43,0
V1167,5,1,57.371371189637074,599.2104744765609,30,17,0.2,0
V1168,4,1,113.81336255520002,458.71143862590054,16,5,0.25,0
V1169,4,1,63.72950800821798,132.23219921757862,23,16,0.25,0
V1170,3,1,137.23172157438972,394.00735817844503,31,7,0.33,0
V1171,11,5,114.20377377349112,819.0994564637194,12,5,0.45,1
V1172,4,1,54.65526008225181,378.2552508470516,85,11,0.25,1
V1173,6,2,89.40291549008559,420.37541043984675,3,16,0.33,0
V1174,8,0,47.5254505116652,239.8278122815825,67,13,0.0,1
V1175,4,2,128.22547008510057,533.297589579655,38,2,0.5,0
V1176,10,2,90.15157897071077,563.9783518453407,86,12,0.2,0
V1177,4,3,89.00056560341557,536.9847046786665,85,12,0.75,0
V1178,6,3,96.6297023384938,264.45008596647574,16,10,0.5,0
V1179,6,1,84.82614238424941,602.1459318611508,82,13,0.17,0
V1180,5,0,70.23294656586046,417.77087431621817,4,12,0.0,0
V1181,4,2,87.1134246055897,547.5425968234192,20,19,0.5,0
V1182,7,2,127.6288814098055,658.1110967466464,45,17,0.29,0
V1183,3,6,73.30260120707867,584.0963723738428,13,16,2.0,1
V1184,6,3,131.8163917456612,630.7610055075772,2,17,0.5,1
V1185,5,2,75.83795317030787,638.0676235668847,31,6,0.4,0
V1186,2,4,95.39227667814613,674.71405689038,28,18,2.0,1
V1187,5,4,148.8322097249135,695.0467102127958,73,11,0.8,0
V1188,1,1,106.93527188752071,740.1381771885257,59,12,1.0,1
V1189,3,3,100.61865385590147,586.9384528399763,11,17,1.0,1
V1190,6,2,109.60718591147284,668.3078412172886,35,2,0.33,0
V1191,6,3,119.96470082350675,534.2504700324994,49,13,0.5,0
V1192,12,0,64.89663689871227,637.6131867482529,44,19,0.0,1
V1193,3,1,104.94952253776235,408.5346080556496,58,19,0.33,1
V1194,4,4,97.73917360378825,147.8355684146507,51,4,1.0,0
V1195,3,3,25.007672846404176,790.2025758821347,17,1,1.0,0
V1196,4,3,97.43559385392615,538.7862270314523,4,2,0.75,0
V1197,1,1,60.296093553538086,533.8958125679202,33,18,1.0,0
V1198,7,1,93.37511677394605,679.7591714682569,62,12,0.14,0
V1199,7,2,119.52874946020847,367.31360144559335,81,9,0.29,1
V1200,3,2,61.977579574800686,478.6384657150776,72,5,0.67,1
V1201,4,7,86.43733617728563,383.1646412129017,43,16,1.75,0
V1202,6,1,77.22682158886876,462.5400747579243,84,4,0.17,1
V1203,4,2,124.23339540635322,421.83027275123635,42,3,0.5,1
V1204,3,3,73.5043889896493,389.1996078326924,51,18,1.0,0
V1205,4,4,96.5147267107815,577.4814551903855,38,8,1.0,0
V1206,7,2,108.9412283388714,127.67299592629888,43,2,0.29,0
V1207,5,1,112.79096837649905,763.5451743058875,48,12,0.2,1
V1208,4,2,60.93337411774982,357.64156758362503,42,1,0.5,1
V1209,11,0,82.36860688457182,597.2182280653528,57,18,0.0,0
V1210,2,2,138.04253428241543,608.5987216097689,54,10,1.0,1
V1211,4,1,89.533821703815,440.5803032056733,17,8,0.25,0
V1212,5,4,120.91215364514684,586.8436484834876,51,4,0.8,0
V1213,4,1,151.73953255460958,283.42189148617626,9,18,0.25,0
V1214,4,2,87.97335379351594,390.4974044743494,84,3,0.5,0
V1215,1,2,114.93507389544173,451.58900574979737,8,3,2.0,0
V1216,2,3,118.61139727498593,590.8903707811338,63,12,1.5,1
V1217,9,2,49.24463410874505,432.01414305192327,56,19,0.22,0
V1218,6,3,102.05648054175862,467.6212287614316,70,17,0.5,0
V1219,7,1,135.09847086536143,665.8187187056853,9,17,0.14,0
V1220,6,0,42.66050873688663,579.2684175708255,75,4,0.0,1
V1221,4,1,86.5810086463492,967.5373534076314,5,7,0.25,1
V1222,10,2,93.43649827531944,318.8858673783982,72,7,0.2,0
V1223,3,2,87.01808472734592,242.91677208085122,64,7,0.67,0
V1224,9,1,83.9725793621472,882.2472435781273,52,8,0.11,0
V1225,1,0,56.675339754763534,552.4772249250918,35,19,0.0,0
V1226,8,1,101.56131064921912,766.4009185674884,60,9,0.12,1
V1227,7,1,67.63194313698925,298.9167298047631,89,9,0.14,1
V1228,1,0,68.38788519903272,402.3753688934138,39,14,0.0,0
V1229,3,3,33.38479451462829,526.7595740808729,6,18,1.0,0
V1230,4,0,47.27430389834849,500.0609456700858,88,9,0.0,0
V1231,4,0,134.33881338816138,484.7792248294975,21,5,0.0,0
V1232,5,1,92.32869518973631,183.29628511270505,36,8,0.2,0
V1233,8,0,112.18750528838373,477.0717432685594,18,4,0.0,1
V1234,8,2,63.376070526789455,568.239883133599,1,14,0.25,0
V1235,4,2,31.670602762624178,432.5684738981268,17,17,0.5,1
V1236,1,0,70.29439970952298,696.0035586681654,69,16,0.0,0
V1237,7,2,32.56844992935717,696.7013664572462,6,9,0.29,1
V1238,3,1,68.98634029157736,543.6376007378752,58,5,0.33,1
V1239,2,1,124.51716003871503,354.66962520395896,45,5,0.5,0
V1240,7,3,87.03871636788415,571.5737739042823,72,6,0.43,1
V1241,2,1,133.46985401308416,599.4554355415858,89,6,0.5,1
V1242,8,2,107.10609329509276,519.7303944013757,83,8,0.25,0
V1243,6,2,121.98988835880638,350.8142932098367,48,16,0.33,0
V1244,4,1,82.69942744470876,668.8760884618493,50,14,0.25,1
V1245,6,0,48.244668903211846,585.697309415364,56,1,0.0,1
V1246,5,0,59.526646494092134,420.19017923251147,9,16,0.0,1
V1247,3,2,126.76104935066854,531.0740678275491,62,15,0.67,1
V1248,9,5,95.3596749054904,315.57344408463746,31,5,0.56,1
V1249,5,3,48.761603229485154,122.61076116823472,65,9,0.6,1
V1250,5,3,109.48328497257687,194.53146865652178,61,3,0.6,0
V1251,6,0,43.254438032812274,552.3998254234644,10,7,0.0,1
V1252,5,2,103.82570643243622,440.2165540018875,53,7,0.4,1
V1253,4,3,82.23783989483593,583.9950476798592,64,16,0.75,0
V1254,3,2,110.67864157902018,666.1407103061481,64,3,0.67,1
V1255,2,3,82.07782269654412,569.5225876282037,50,15,1.5,1
V1256,6,3,111.75518361481116,371.24109669280693,86,7,0.5,0
V1257,3,3,44.071749698617076,582.3565778634445,65,3,1.0,0
V1258,4,3,100.02686350420805,422.383695247166,77,16,0.75,1
V1259,6,4,76.68058559101217,435.4699185484808,14,6,0.67,0
V1260,4,1,101.20571309701086,710.1032904517201,23,8,0.25,1
V1261,7,1,80.77174644719848,614.0815649551178,28,16,0.14,1
V1262,9,4,63.16700298529952,416.54010975257586,58,6,0.44,1
V1263,10,2,86.85291317271695,336.48275338254587,40,16,0.2,0
V1264,7,3,127.12846355480167,777.357474459814,64,2,0.43,0
V1265,6,0,71.8872456859747,491.29730433528755,2,1,0.0,0
V1266,5,3,95.99533152868692,270.9644312417996,43,19,0.6,1
V1267,4,2,69.7958371429352,411.6656384030434,88,14,0.5,0
V1268,2,2,31.066706989589605,149.8272473246672,12,19,1.0,1
V1269,3,2,92.25225654192637,50.0,35,4,0.67,0
V1270,4,1,206.7413082383731,690.9135219612504,74,2,0.25,1
V1271,10,3,49.887805278004,324.0128706257945,69,2,0.3,1
V1272,2,6,118.75630859850912,256.2262042131016,63,12,3.0,1
V1273,1,3,18.865652780248467,386.8817530021959,41,11,3.0,1
V1274,4,2,88.34303743697279,432.5940043906648,64,18,0.5,0
V1275,9,1,48.218123815575495,381.1368017109398,18,19,0.11,1
V1276,6,3,102.97628394090654,318.7777865469587,70,17,0.5,0
V1277,10,2,73.43179111532625,491.7278511403635,11,4,0.2,0
V1278,6,2,72.34856537975475,452.0133730225848,65,12,0.33,0
V1279,4,2,56.0199438656691,838.9654440505882,23,3,0.5,0
V1280,4,1,25.51701750560781,426.9023153329678,4,16,0.25,1
V1281,9,0,81.17294588696569,491.6539940909298,7,4,0.0,1
V1282,5,2,68.68433804911074,316.97109603634624,41,6,0.4,1
V1283,4,1,77.49434578002911,629.5205918858251,49,1,0.25,1
V1284,2,2,79.73593340736787,833.0916109413683,17,5,1.0,0
V1285,5,1,64.78726144523898,480.7423376968141,75,10,0.2,0
V1286,4,5,93.56560367614313,373.99718542897807,55,14,1.25,0
V1287,5,2,83.45278873578658,536.103062069598,27,5,0.4,0
V1288,2,2,114.76553535789053,595.4374570586505,12,10,1.0,0
V1289,6,1,161.37873029821952,1078.160747367402,47,9,0.17,1
V1290,5,1,96.84388848983443,470.14519122693775,34,13,0.2,1
V1291,4,2,123.20751055504468,431.8069762386461,8,17,0.5,0
V1292,4,3,93.76308947029034,268.9429875387673,23,19,0.75,1
V1293,2,2,103.96157699521231,440.14627624292274,26,1,1.0,0
V1294,4,6,80.22000692194737,415.77247751157677,34,9,1.5,0
V1295,6,1,86.92489957140944,609.3299220173544,32,18,0.17,0
V1296,5,0,66.14524644059614,446.0868558983909,6,5,0.0,1
V1297,7,6,132.530181610976,296.0706030621893,65,14,0.86,0
V1298,1,0,119.03852659762106,288.43503789056786,59,19,0.0,1
V1299,2,2,97.65430796743415,415.53891685965755,50,15,1.0,1
V1300,5,4,59.24214463488596,651.1320066666707,68,4,0.8,1
V1301,6,0,84.70526574844102,535.6796576454987,89,4,0.0,1
V1302,8,1,119.02362865311474,594.0047485281309,8,18,0.12,0
V1303,5,3,163.37815141168318,502.72790177319837,40,18,0.6,0
V1304,9,1,92.31580014736912,579.5028666132,46,8,0.11,0
V1305,1,2,126.7632727183782,429.4566269273557,84,2,2.0,1
V1306,3,3,95.20161643445255,327.7571218869921,78,16,1.0,0
V1307,5,5,128.27349329465062,332.1530298166807,33,14,1.0,1
V1308,4,2,27.28494893168518,322.1326367530612,58,1,0.5,1
V1309,2,2,64.17007294161499,752.8091613772424,3,17,1.0,0
V1310,4,2,99.40041382480202,695.4775380948361,79,10,0.5,0
V1311,2,1,53.49700137865551,414.62850538335636,27,16,0.5,0
V1312,3,2,102.73364963423126,533.411400538678,83,3,0.67,0
V1313,9,4,91.18440333922251,639.4774484768701,65,19,0.44,0
V1314,5,2,41.833544373836645,381.8114296584698,57,11,0.4,1
V1315,2,0,36.239385355042884,475.36003958683517,35,15,0.0,0
V1316,6,0,99.98921662890885,310.06391507100136,52,18,0.0,0
V1317,6,1,55.58770059155754,325.5199532304481,51,19,0.17,0
V1318,6,1,76.28325260812414,634.3822079194814,17,7,0.17,1
V1319,4,1,108.9283624423969,512.9757533591953,77,6,0.25,0
V1320,8,5,87.54335880187195,505.76298594034733,52,9,0.62,1
V1321,5,1,77.31041126715476,727.4633344525207,48,13,0.2,0
V1322,8,1,44.49544766738349,414.20889471665015,58,8,0.12,1
V1323,9,2,134.994391817853,642.8798188781652,76,18,0.22,1
V1324,5,3,114.15971490853195,334.70570501564976,26,3,0.6,0
V1325,6,0,70.67153561728418,416.52766693086187,27,1,0.0,0
V1326,6,3,62.907055285105955,355.29859088914543,24,18,0.5,0
V1327,6,3,73.14345427416728,341.5189719477581,81,4,0.5,0
V1328,6,2,60.62489542863752,855.9399878331085,11,18,0.33,1
V1329,2,1,81.0995219783766,245.91480822043684,86,16,0.5,1
V1330,2,1,123.48599022538046,360.1930039432317,8,18,0.5,0
V1331,6,0,120.34852786592153,90.52364248350716,48,3,0.0,0
V1332,8,3,120.24813948289864,395.33552564588797,32,14,0.38,1
V1333,6,2,51.07478170137773,463.69478562743325,29,10,0.33,1
V1334,8,2,58.92776834770795,669.2267502612254,5,5,0.25,0
V1335,5,0,118.87211318956832,399.60654071297563,49,8,0.0,0
V1336,6,2,103.52444943072445,267.2225755406072,13,18,0.33,0
V1337,8,2,76.96224871198908,399.016515984838,89,5,0.25,0
V1338,2,3,111.34559210260838,552.6030969977894,42,12,1.5,0
V1339,8,1,105.14354461250974,651.7768051910886,10,4,0.12,1
V1340,2,1,44.02043395481029,372.5751015948765,26,12,0.5,1
V1341,8,1,22.26014160411647,311.043779896925,26,13,0.12,1
V1342,3,1,89.6102504515235,423.49239841658874,85,14,0.33,0
V1343,9,2,25.217670076349634,568.6083163385829,23,14,0.22,0
V1344,7,3,122.86751427627132,659.477627794522,44,19,0.43,1
V1345,7,0,105.31543779986343,295.2109723702242,76,10,0.0,0
V1346,4,1,78.96257455591092,355.8278241974177,39,9,0.25,1
V1347,8,2,53.027142294056596,78.99654978684862,43,18,0.25,0
V1348,3,2,61.89769011361417,88.97417753332473,52,17,0.67,1
V1349,5,2,10.0,278.3511749625835,58,5,0.4,0
V1350,3,1,131.82961052485837,302.1370636145537,89,2,0.33,1
V1351,4,5,95.81848030951181,403.62750320352006,76,10,1.25,0
V1352,2,1,84.5921785760393,560.0931563283718,32,1,0.5,1
V1353,2,2,145.0526017956121,482.8593004738813,18,8,1.0,1
V1354,5,5,61.555520227862246,555.530109179128,42,8,1.0,0
V1355,9,2,83.94681523141998,680.8726820461472,84,6,0.22,0
V1356,6,2,69.14063967033347,549.2233624346279,2,5,0.33,1
V1357,5,2,152.4229411620082,460.0672551240954,60,18,0.4,0
V1358,1,3,81.32591881372835,591.9969733027546,33,7,3.0,0
V1359,6,3,95.55328850506021,121.39762335525808,46,4,0.5,1
V1360,6,1,138.62448922346678,448.51353836310653,81,1,0.17,0
V1361,3,0,122.52894701875144,628.2552179743002,59,2,0.0,0
V1362,4,0,41.24243750118087,470.794999958061,57,19,0.0,1
V1363,4,3,80.55103894707801,545.5755643058013,62,3,0.75,0
V1364,4,4,87.89408797949437,459.9513055458788,63,1,1.0,0
V1365,5,4,94.81389536381081,621.4777442552949,73,13,0.8,0
V1366,7,2,99.45243592781145,677.6361521825077,31,8,0.29,1
V1367,7,3,62.81761548304151,79.7730214195484,39,12,0.43,0
V1368,5,1,135.84108674974354,367.6474335991388,85,8,0.2,0
V1369,13,1,103.3728926625102,95.21361047970032,22,7,0.08,1
V1370,8,1,109.51155134082943,50.0,17,8,0.12,0
V1371,2,3,131.18321440831954,616.8100050280719,3,15,1.5,1
V1372,3,2,98.29914658237902,658.6644697784927,32,7,0.67,1
V1373,5,1,83.73050392259059,398.853587195445,33,12,0.2,0
V1374,9,1,79.11084590547883,361.6662683704164,64,18,0.11,1
V1375,7,1,83.24906630881951,464.9983132098823,10,4,0.14,1
V1376,6,3,85.15519705830378,1059.9766013291987,5,6,0.5,1
V1377,7,3,32.64616829258542,291.0101544124194,68,11,0.43,1
V1378,5,4,71.36939800195964,230.09849233421073,38,10,0.8,0
V1379,6,3,57.201236769210546,619.9118088600421,41,19,0.5,0
V1380,4,3,29.13679558029836,630.6420034088555,84,18,0.75,1
V1381,3,3,94.706929075779,577.1299164584451,73,12,1.0,0
V1382,7,1,103.30464477433216,514.9640040173017,61,17,0.14,1
V1383,6,1,64.16060772621556,437.3264155689271,15,2,0.17,1
V1384,4,3,81.59563931249883,200.07414532700358,52,19,0.75,0
V1385,5,0,106.97046322602202,872.0232113337154,8,12,0.0,0
V1386,5,1,80.95483991325919,885.7596025576458,56,11,0.2,1
V1387,3,2,85.90854804536892,400.29005336057116,30,15,0.67,0
V1388,2,3,82.65851865179295,781.4521704061697,74,11,1.5,1
V1389,1,0,108.05053657530367,568.4674503793884,78,11,0.0,0
V1390,3,1,89.49658886970923,146.91549863696684,34,10,0.33,1
V1391,2,1,80.23973364326652,165.33479759871096,59,19,0.5,0
V1392,6,2,75.75640855690114,652.3281749354288,56,3,0.33,1
V1393,4,2,64.87435251654912,757.4752544383475,86,4,0.5,0
V1394,4,1,107.91278705150053,570.9835379781811,13,3,0.25,0
V1395,7,0,106.98326592055591,550.9871691127815,51,15,0.0,1
V1396,4,1,89.81742163484421,324.10115357175323,59,6,0.25,1
V1397,3,1,118.1372734417593,275.0015675628623,62,9,0.33,0
V1398,4,3,90.32386572479103,653.4859362728287,29,8,0.75,1
V1399,4,2,99.73698640695784,509.60978741911106,62,2,0.5,0
V1400,5,4,72.91195807359142,476.34387190507283,7,19,0.8,0
V1401,6,3,125.97185977708578,750.9142862228008,44,15,0.5,1
V1402,3,1,94.8628212119854,838.3811224383899,6,8,0.33,0
V1403,4,3,101.5985544208619,616.5373129196826,62,19,0.75,1
V1404,3,4,92.00262167789951,313.6720682258618,68,5,1.33,0
V1405,2,0,92.52826412501031,510.52401919012414,78,12,0.0,1
V1406,1,2,97.83071529367436,415.19801819991784,70,12,2.0,0
